Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,33.33469878726229,-2.3830831174534715,7.164380908781766,-60.0,-97.0,7.280109889280518,102.0,245.08,160.9799788793625
0,83.59466846406764,4.35644942961161,13.115214221253224,-10.0,-90.4,13.484806264830057,102.0,198.25,124.11650776588905
1,83.59466846406764,12.3859994159492,13.467038055809775,-10.0,-82.1,13.732807433296367,102.0,234.25,131.24270455914873
2,83.59466846406764,23.414662674541308,17.175557562772962,-10.0,-70.9,17.55534106760675,103.0,255.68,162.97643265208623
3,83.59466846406764,34.32914451861568,15.512044632207626,-10.0,-59.9,15.905659370173876,163.0,235.44,125.32791548573684
4,83.59466846406764,41.99862865024065,17.005146053507158,-10.0,-52.0,17.378147196982766,163.0,273.3,132.36325018674935
5,83.59466846406764,51.53521726695066,14.051071578899391,-10.0,-42.2,14.253420642077465,162.0,313.27,128.62393673029916
6,83.59466846406764,58.93106427419409,10.877013061505764,-10.0,-34.7,10.995908329919816,179.0,320.25,123.57964031344322
7,93.46302576183881,62.90994667543721,9.726872381679271,11.20000000000023,-30.587999999999997,10.228814985129029,195.0,310.5,105.26723136855078
8,93.46302576183881,67.11435757901383,9.614882712688177,11.20000000000023,-26.311999999999994,10.320399992248381,195.0,295.47,98.09785471660427
9,93.54798249381265,71.68365254184509,9.378693819259674,17.20000000000023,-21.335999999999984,10.96225816152862,212.0,291.44,95.36124160265533
10,93.54798249381265,73.80976303595988,9.26871515700278,17.20000000000023,-19.183999999999983,10.892224015324004,212.0,276.86,86.32937159507185
11,93.8825471035353,77.85942705030742,8.21562873097336,40.000000000000284,-14.389999999999976,11.73996166944345,216.0,282.05,88.82211154887054
12,93.91482822853989,79.87081758377019,7.259671613972534,40.000000000000284,-11.891999999999966,11.90584461514603,216.0,269.29,43.55417201600783
13,93.91482822853989,81.09479964433183,7.052775069147835,40.000000000000284,-10.383999999999963,12.10112986460363,216.0,259.34,31.806672255990563
14,93.91482822853989,82.68861645125882,6.573644075007788,40.000000000000284,-8.457999999999956,12.18042018979649,216.0,257.62,30.67728149624735
15,93.91482822853989,84.56941831794687,6.030333919808758,40.000000000000284,-5.555999999999942,13.146393573904687,216.0,260.64,34.109681909979756
16,93.91482822853989,86.53671769778144,4.61500142347719,40.000000000000284,-1.977999999999926,14.434622128757061,216.0,267.85,32.12954248040267
17,93.91482822853989,87.47025466913878,4.881931493247041,40.000000000000284,0.13400000000009554,15.144082804845041,216.0,259.41,27.507851606405033
18,93.92082822853989,88.69919592194545,5.003585878296898,40.000000000000284,4.208000000000126,17.000633399964947,197.0,256.31,27.745520359149868
19,93.92082822853989,89.90776402873833,4.814773475696157,40.600000000000286,7.5320000000001555,17.298236210666207,197.0,256.7,29.90769131845519
20,93.92082822853989,91.600997310891,3.9742863018488954,40.600000000000286,11.814000000000197,16.157407093961655,197.0,261.04,32.77252507818096
21,94.0708282285399,93.49616609017443,1.0088562761787405,47.8000000000003,17.594000000000243,14.166734415524298,197.0,267.5,33.209486596453125
22,94.0708282285399,93.65565373418767,0.18527266294187653,47.8000000000003,20.782000000000252,13.4756994623656,197.0,258.83,23.18277593386952
23,94.0708282285399,93.7000842873576,0.15922153066354328,47.8000000000003,23.710000000000253,12.806135248387802,197.0,254.67,19.51207574811045
24,94.0708282285399,93.74851875388089,0.13960246659652814,47.8000000000003,26.95000000000026,11.750927622958136,197.0,250.57,18.37076753976273
25,94.0708282285399,93.76648849809193,0.1298024677345708,47.8000000000003,28.684000000000268,10.600497346822952,197.0,250.41,18.320532197509984
26,94.0708282285399,93.80488336864441,0.10613192607172202,47.8000000000003,31.22200000000026,9.218021262722296,197.0,247.13,17.44342569565967
27,94.0708282285399,93.84252925683157,0.07938392285041318,47.8000000000003,34.288000000000274,6.619324436828897,197.0,245.37,16.662925913536313
28,94.0708282285399,93.86720513107568,0.0624256569156762,47.8000000000003,35.87800000000028,5.399769995101656,197.0,243.17,15.650594237919531
29,94.0708282285399,93.87816251729856,0.05659940580317283,47.8000000000003,36.51400000000028,5.1107146271338735,197.0,242.08,16.02665280088141
