mutation_rate,crossover_rate,dom_l,dom_u,Performance
0.060241320340777005,0.6641180803107551,-1.0,-0.13891756179277082,-5.159055299214529
0.17399958550492686,0.4452624188753709,-1.0,1.0,89.50254710353533
0.09238091743231688,0.2,-0.6663450840434502,0.25188589534612693,87.1987169655284
0.07882200421909222,0.7588029681388813,-0.744343270815514,0.23478944857402428,89.6265296173155
0.1409951307841578,0.47941173379132324,-0.6085461107443968,1.0,89.31289246928256
0.08331305670842325,0.5483365978774177,-0.6554386718002602,0.01836115902078106,64.96121645861146
0.049864999651665604,0.7119369486439535,-0.3262399368517218,0.19535319463359024,89.26198895412928
0.06246858520324036,0.5237163138636698,-0.12183338901472907,-0.07500344468642672,-5.159055299214529
0.028908420861695233,1.0,-1.0,-1.0,-5.159055299214529
0.2,1.0,-1.0,-0.73031436850384,-5.159055299214529
0.01,0.2,0.293967787138792,-1.0,66.21925648420768
0.19190032338913157,1.0,-1.0,-0.04127831041201857,-5.159055299214529
0.05768431184764478,0.7273916983417519,-1.0,-0.9572477264612228,-5.159055299214529
0.01,1.0,-1.0,-0.36853203251776845,-5.159055299214529
0.2,0.5088770858401936,-1.0,-0.9100027440932884,-5.159055299214529
0.2,1.0,1.0,0.5640656933546369,-4.820281565605037
0.16311762224434015,0.8492734422387056,-0.3927654318909095,0.4103670477114034,85.93703951986407
0.04037137109467883,1.0,-0.6356645408444943,-0.8149029799840823,-5.159055299214529
0.010000000096620736,0.5088622355958055,0.30756521073170506,-1.0,86.26735835882793
0.09062443906565384,0.6219348579449671,-0.6123603863783011,0.2971209894157414,91.0895052340484
0.01,1.0,-1.0,0.3750882118958443,21.976119479153724
0.01,1.0,0.9399112720919722,-1.0,87.2936094851523
0.02107557813637159,1.0,0.12348954402649004,0.2799332663907528,-4.820281565605037
0.04793220678072946,0.6607493297045443,-0.4068676993515893,-0.9643788795643042,-5.159055299214529
0.01,0.8843543426557052,-1.0,-1.0,-5.159055299214529
0.01,0.563841431890412,0.25022009566757397,1.0,-4.820281565605037
0.2,0.2,0.5085806731770557,-1.0,66.19788162462294
0.10868905055967878,1.0,-1.0,-0.7357509724803771,-5.159055299214529
0.2,1.0,0.9653971874792955,-0.7943730943323063,56.815851109062514
0.01,0.5940145297186519,0.27322400382756085,-0.8986048008026636,86.50837410294778
0.1433323714247723,0.2,-1.0,-1.0,-5.159055299214529
0.012240675620772313,1.0,-1.0,-0.8342297809641896,-5.159055299214529
0.0379006264602765,0.7391888558434248,-0.9202337287682565,-0.9072837697423314,-5.159055299214529
0.2,0.9103910565587758,-1.0,-0.42061121245111155,-5.159055299214529
0.01,0.4669663976236834,-1.0,0.6415632444883148,89.57345477644344
0.030026354017530905,1.0,-1.0,0.1277178534374226,86.4952492300382
0.04478005243511097,0.6508973620312823,-0.518838380493225,0.38846847143640484,85.18425778641311
0.1443119961043384,0.887967032110115,-1.0,0.15562826346428227,86.68735835882794
0.0503199608212959,0.2,1.0,1.0,-4.820281565605037
0.06894486191741214,0.4959147589992965,1.0,1.0,-4.820281565605037
