Generation,Best Fitness,Average Fitness,Std Fitness,Best Health,Avg Health,Std Health,Lowest Time,Avg Time,Std Time
0,21.906249799193237,-2.5409683164532826,6.953607469707744,-70.0,-96.8,7.6,100.0,252.4,122.92273996295398
0,38.91322527308769,2.505023731288044,10.083649332730126,-50.0,-91.6,11.377170122662314,93.0,167.29,73.05549876634888
1,48.38687189361193,11.082616038370558,10.324466749101934,-40.0,-81.9,11.549458861782227,100.0,193.3,75.10639120607513
2,48.38687189361193,17.86106016020331,9.343727382025198,-40.0,-74.4,10.518555033843766,103.0,184.65,64.42582944751275
3,56.877507190485616,24.584875281729346,7.155945301107028,-30.0,-66.9,8.209141246196218,161.0,191.82,80.97856259529429
4,66.1710543823898,25.72208891722504,8.682856248480538,-20.0,-65.6,9.93176721434811,161.0,199.7,86.3156416879351
5,66.1710543823898,26.48009333395138,8.928521196399748,-20.0,-64.7,10.24255827418131,161.0,214.54,104.15242868027612
6,66.1710543823898,28.649479790031656,10.234860748795262,-20.0,-62.2,11.711532777565882,148.0,236.28,121.49535628985988
7,75.1710543823898,33.26188033770636,11.714519094136213,-10.0,-56.9,13.31878372825387,148.0,275.0,124.37748992482523
8,75.1710543823898,38.75423393385193,10.675368358861443,-10.0,-50.6,11.984990613262909,161.0,317.14,109.30736663189722
9,84.09065075683263,42.46373776738565,10.019873469280334,7.000000000000233,-46.43,11.564821658806514,193.0,313.33,116.50236521204194
10,86.70772962385828,47.047147325424994,11.020644158454147,34.60000000000027,-40.70399999999999,15.016190728676863,212.0,341.52,160.87923918268635
11,86.70772962385828,49.069495534220756,10.930475875176096,34.60000000000027,-38.50399999999999,14.891057182080829,212.0,332.02,183.83726390479166
12,86.70772962385828,52.2481456050323,11.16572823105565,34.60000000000027,-34.90399999999999,14.967043261780228,212.0,362.03,222.22589655573447
13,86.70772962385828,56.24881003235452,10.647811078430886,34.60000000000027,-30.14999999999999,14.816244463425987,212.0,389.17,228.16511806146002
14,86.70772962385828,58.68715395138739,10.322082128007064,34.60000000000027,-27.427999999999983,14.39780594396248,222.0,385.21,225.5099685158064
15,86.70772962385828,61.44982171571281,9.88288874403516,34.60000000000027,-24.299999999999983,13.86291455647049,222.0,400.62,243.09635044566178
16,86.70772962385828,64.55748983495786,8.707344773999642,34.60000000000027,-20.73799999999998,12.641192823464145,222.0,411.73,219.3431036071114
17,86.70772962385828,66.05037385348355,8.24000980219724,34.60000000000027,-19.13799999999998,12.149129845384046,243.0,381.13,179.88210889357507
18,86.70772962385828,68.02991964266242,8.124228861701587,34.60000000000027,-16.827999999999975,12.062570870258192,243.0,388.97,191.4498083049445
19,86.70772962385828,70.71598184046339,7.483949021869319,34.60000000000027,-13.74799999999996,11.306161859800243,243.0,395.78,188.5654040379624
20,86.70772962385828,71.73526587274972,7.290120347815786,34.60000000000027,-12.549999999999956,11.178564308532726,239.0,385.69,182.41111232597646
21,86.70772962385828,72.90802935030848,7.35434422388976,34.60000000000027,-11.21999999999995,11.118722948252726,239.0,387.23,186.48184120712665
22,86.70772962385828,74.36326282001949,7.445786248526358,34.60000000000027,-9.439999999999936,11.196249371999624,239.0,389.7,190.41683223916945
23,86.70772962385828,77.01925217339601,7.151403680812904,34.60000000000027,-5.893999999999905,11.363536597380334,239.0,401.13,205.48638178721237
24,86.70772962385828,78.0225817103556,6.775702064541238,34.60000000000027,-4.575999999999894,11.007171480448653,239.0,405.39,208.14427184047125
25,86.99598249381268,79.9187317210596,4.927156805297095,34.60000000000027,-1.8019999999998817,10.228528535424925,248.0,430.53,214.91712146778815
26,86.99598249381268,80.6497467427459,4.701770003977172,35.800000000000274,-0.30999999999986655,11.16169789951341,262.0,418.7,207.35845774889435
27,87.75017592951056,81.42016582465466,4.535321008034848,44.800000000000296,1.1580000000001527,11.68805527023217,262.0,428.37,216.36268878898687
28,87.75017592951056,81.9871433279979,4.2997869064214695,44.800000000000296,1.9820000000001645,11.415396445152563,262.0,426.9,217.07963976384335
29,87.98540834002708,83.02812324701654,3.632546874827397,47.2000000000003,3.8600000000001877,11.509039925206682,262.0,442.34,229.40938167389754
